id,nama,provinsi_id
1212,DELI SERDANG,12
3218,PANGANDARAN,32
7411,KOLAKA TIMUR,74
3308,MAGELANG,33
3501,PACITAN,35
3518,NGANJUK,35
3520,MAGETAN,35
1172,KOTA SABANG,11
3304,BANJARNEGARA,33
3312,WONOGIRI,33
3321,DEMAK,33
3328,TEGAL,33
3374,KOTA SEMARANG,33
3502,PONOROGO,35
3503,TRENGGALEK,35
3521,NGAWI,35
1213,LANGKAT,12
3301,CILACAP,33
3302,BANYUMAS,33
3303,PURBALINGGA,33
3323,TEMANGGUNG,33
6305,TAPIN,63
1101,SIMEULUE,11
1113,GAYO LUES,11
1971,KOTA PANGKALPINANG,19
3212,INDRAMAYU,32
3504,TULUNGAGUNG,35
3508,LUMAJANG,35
3529,SUMENEP,35
3579,KOTA BATU,35
5103,BADUNG,51
1308,LIMA PULUH KOTO,13
3174,KOTA JAKARTA BARAT,31
3171,KOTA JAKARTA SELATAN,31
3208,KUNINGAN,32
3505,BLITAR,35
3511,BONDOWOSO,35
3527,SAMPANG,35
5201,LOMBOK BARAT,52
5202,LOMBOK TENGAH,52
7103,KEPULAUAN SANGIHE,71
1707,LEBONG,17
3202,SUKABUMI,32
3205,GARUT,32
3306,PURWOREJO,33
3401,KULONPROGO,34
3101,KEPULAUAN SERIBU,31
3322,SEMARANG,33
1608,OGAN KOMERING ULU SELATAN,16
3513,PROBOLINGGO,35
3525,GRESIK,35
1105,ACEH TIMUR,11
3206,TASIKMALAYA,32
3211,SUMEDANG,32
6201,KOTAWARINGIN BARAT,62
1112,ACEH BARAT DAYA,11
1275,KOTA MEDAN,12
1902,BELITUNG,19
3203,CIANJUR,32
3307,WONOSOBO,33
3512,SITUBONDO,35
3204,BANDUNG,32
3324,KENDAL,33
3207,CIAMIS,32
3305,KEBUMEN,33
3326,PEKALONGAN,33
3329,BREBES,33
3376,KOTA TEGAL,33
3507,MALANG,35
1407,ROKAN HULU,14
1108,ACEH BESAR,11
1111,ACEH UTARA,11
3214,PURWAKARTA,32
9471,KOTA JAYAPURA,94
3277,KOTA CIMAHI,32
7205,DONGGALA,72
7206,TOLI-TOLI,72
7604,MAMUJU,76
7605,MAMUJU UTARA,76
2105,KEPULAUAN ANAMBAS,21
1702,REJANG LEBONG,17
3602,LEBAK,36
2101,KARIMUN,21
3279,KOTA BANJAR,32
3201,BOGOR,32
1102,ACEH SINGKIL,11
3172,KOTA JAKARTA TIMUR,31
3271,KOTA BOGOR,32
3523,TUBAN,35
1103,ACEH SELATAN,11
6474,KOTA BONTANG,64
6310,TANAH BUMBU,63
7105,MINAHASA SELATAN,71
1473,KOTA DUMAI,14
1804,LAMPUNG TIMUR,18
1223,LABUHAN BATU UTARA,12
6104,MEMPAWAH,61
6171,KOTA PONTIANAK,61
1306,PADANG PARIAMAN,13
1506,TANJUNG JABUNG TIMUR,15
6307,HULU SUNGAI TENGAH,63
6371,KOTA BANJARMASIN,63
9431,MAMBERAMO TENGAH,94
3278,KOTA TASIKMALAYA,32
3403,GUNUNGKIDUL,34
1303,SOLOK,13
1312,PASAMAN BARAT,13
1372,KOTA SOLOK,13
1116,ACEH JAYA,11
1403,INDRAGIRI HILIR,14
1107,ACEH BARAT,11
2172,KOTA TANJUNG PINANG,21
3318,PATI,33
3672,KOTA CILEGON,36
1508,TEBO,15
5105,KLUNGKUNG,51
3510,BANYUWANGI,35
2102,BINTAN,21
1904,BANGKA TENGAH,19
1803,LAMPUNG SELATAN,18
2104,LINGGA,21
1406,KAMPAR,14
1218,SERDANG BEDAGAI,12
8205,HALMAHERA UTARA,82
7602,POLEWALI MANDAR,76
5311,ENDE,53
5310,SIKKA,53
5205,DOMPU,52
7317,LUWU,73
8171,KOTA AMBON,81
8271,KOTA TERNATE,82
9108,RAJA AMPAT,91
1274,KOTA TEBING TINGGI,12
9434,DOGIYAI,94
3215,KARAWANG,32
8107,SERAM BAGIAN TIMUR,81
7110,BOLAANG MONGONDOW SELATAN,71
1206,TOBA SAMOSIR,12
3604,SERANG,36
3216,BEKASI,32
3601,PANDEGLANG,36
3310,KLATEN,33
3526,BANGKALAN,35
6409,PANAJAM PASER UTARA,64
6471,KOTA BALIKPAPAN,64
1709,BENGKULU TENGAH,17
3217,BANDUNG BARAT,32
5206,BIMA,52
7313,WAJO,73
7406,BOMBANA,74
7312,SOPPENG,73
7315,PINRANG,73
7410,KONAWE UTARA,74
5321,MALAKA,53
1276,KOTA BINJAI,12
6202,KOTAWARINGIN TIMUR,62
3272,KOTA SUKABUMI,32
3516,MOJOKERTO,35
9171,KOTA SORONG,91
3320,JEPARA,33
7505,GORONTALO UTARA,75
3575,KOTA PASURUAN,35
5101,JEMBRANA,51
1114,ACEH TAMIANG,11
7606,MAMUJU TENGAH,76
1211,KARO,12
1371,KOTA PADANG,13
7101,BOLAANG MONGONDOW,71
7108,KEPULAUAN SIAU TAGULANDANG BIARO,71
7171,KOTA MANADO,71
3327,PEMALANG,33
3317,REMBANG,33
3509,JEMBER,35
1225,NIAS BARAT,12
3313,KARANGANYAR,33
5203,LOMBOK TIMUR,52
3522,BOJONEGORO,35
3311,SUKOHARJO,33
7174,KOTA KOTAMOBAGU,71
1307,AGAM,13
6271,KOTA PALANGKARAYA,62
1302,PESISIR SELATAN,13
1501,KERINCI,15
1706,MUKOMUKO,17
1271,KOTA SIBOLGA,12
3517,JOMBANG,35
1705,SELUMA,17
1209,SIMALUNGUN,12
3528,PAMEKASAN,35
